"행정구역","2026년03월_거주자_총인구수","2026년03월_거주자_연령구간인구수","2026년03월_거주자_0~9세","2026년03월_거주자_10~19세","2026년03월_거주자_20~29세","2026년03월_거주자_30~39세","2026년03월_거주자_40~49세","2026년03월_거주자_50~59세","2026년03월_거주자_60~69세","2026년03월_거주자_70~79세","2026년03월_거주자_80~89세","2026년03월_거주자_90~99세","2026년03월_거주자_100세 이상","2026년03월_남_거주자_총인구수","2026년03월_남_거주자_연령구간인구수","2026년03월_남_거주자_0~9세","2026년03월_남_거주자_10~19세","2026년03월_남_거주자_20~29세","2026년03월_남_거주자_30~39세","2026년03월_남_거주자_40~49세","2026년03월_남_거주자_50~59세","2026년03월_남_거주자_60~69세","2026년03월_남_거주자_70~79세","2026년03월_남_거주자_80~89세","2026년03월_남_거주자_90~99세","2026년03월_남_거주자_100세 이상","2026년03월_여_거주자_총인구수","2026년03월_여_거주자_연령구간인구수","2026년03월_여_거주자_0~9세","2026년03월_여_거주자_10~19세","2026년03월_여_거주자_20~29세","2026년03월_여_거주자_30~39세","2026년03월_여_거주자_40~49세","2026년03월_여_거주자_50~59세","2026년03월_여_거주자_60~69세","2026년03월_여_거주자_70~79세","2026년03월_여_거주자_80~89세","2026년03월_여_거주자_90~99세","2026년03월_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,238,662","9,238,662","456,369","718,682","1,240,348","1,457,901","1,347,262","1,448,776","1,304,987","837,253","368,849","56,887","1,348","4,447,513","4,447,513","234,364","366,239","579,453","727,836","665,579","711,309","618,719","377,045","150,375","16,327","267","4,791,149","4,791,149","222,005","352,443","660,895","730,065","681,683","737,467","686,268","460,208","218,474","40,560","1,081"
"서울특별시 종로구 (1111000000)","135,176","135,176","5,009","9,180","19,980","19,762","17,817","22,247","20,579","12,570","6,788","1,215","29","64,653","64,653","2,570","4,467","9,250","9,852","8,526","10,889","10,244","5,798","2,670","379","8","70,523","70,523","2,439","4,713","10,730","9,910","9,291","11,358","10,335","6,772","4,118","836","21"
"서울특별시 중구 (1114000000)","116,415","116,415","4,846","5,848","15,535","21,072","15,913","17,399","17,535","11,493","5,743","1,011","20","55,847","55,847","2,467","2,926","6,929","10,490","7,969","8,721","8,637","5,274","2,170","261","3","60,568","60,568","2,379","2,922","8,606","10,582","7,944","8,678","8,898","6,219","3,573","750","17"
"서울특별시 용산구 (1117000000)","197,948","197,948","9,757","12,571","25,829","36,715","28,443","30,920","27,522","16,087","8,469","1,589","46","94,058","94,058","4,947","6,402","11,406","17,850","14,039","14,978","13,437","7,293","3,209","485","12","103,890","103,890","4,810","6,169","14,423","18,865","14,404","15,942","14,085","8,794","5,260","1,104","34"
"서울특별시 성동구 (1120000000)","273,084","273,084","15,638","17,269","37,529","48,158","39,189","42,193","38,072","22,522","10,856","1,629","29","131,637","131,637","8,047","8,454","17,886","23,632","19,657","20,561","18,594","10,154","4,208","438","6","141,447","141,447","7,591","8,815","19,643","24,526","19,532","21,632","19,478","12,368","6,648","1,191","23"
"서울특별시 광진구 (1121500000)","328,807","328,807","13,372","22,928","54,406","56,560","45,382","50,214","45,394","26,855","11,819","1,839","38","157,261","157,261","6,844","11,545","24,872","28,102","22,124","24,326","21,786","12,203","4,930","518","11","171,546","171,546","6,528","11,383","29,534","28,458","23,258","25,888","23,608","14,652","6,889","1,321","27"
"서울특별시 동대문구 (1123000000)","349,373","349,373","17,774","23,459","55,489","55,186","47,821","52,169","48,488","31,601","15,159","2,176","51","170,079","170,079","9,060","11,842","25,911","27,984","24,425","26,188","23,681","14,311","6,012","654","11","179,294","179,294","8,714","11,617","29,578","27,202","23,396","25,981","24,807","17,290","9,147","1,522","40"
"서울특별시 중랑구 (1126000000)","374,876","374,876","16,287","23,038","44,495","58,728","50,069","60,767","64,006","38,634","16,456","2,339","57","182,757","182,757","8,277","11,828","20,889","29,863","26,025","29,903","30,987","17,684","6,659","634","8","192,119","192,119","8,010","11,210","23,606","28,865","24,044","30,864","33,019","20,950","9,797","1,705","49"
"서울특별시 성북구 (1129000000)","420,178","420,178","21,171","34,286","62,195","56,664","58,856","69,888","58,043","37,581","18,580","2,854","60","200,518","200,518","10,939","17,149","28,977","28,302","29,055","34,204","27,303","16,506","7,264","807","12","219,660","219,660","10,232","17,137","33,218","28,362","29,801","35,684","30,740","21,075","11,316","2,047","48"
"서울특별시 강북구 (1130500000)","276,786","276,786","9,428","17,864","33,737","34,116","35,591","47,814","47,295","32,655","16,138","2,105","43","132,863","132,863","4,771","9,046","15,549","17,848","18,571","23,627","22,469","14,091","6,256","628","7","143,923","143,923","4,657","8,818","18,188","16,268","17,020","24,187","24,826","18,564","9,882","1,477","36"
