개방자치단체코드,관리번호,자전거보관소명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형명,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202030000000300032,이화사거리,"서울특별시 종로구 대학로 60, 동마루빌딩(현대자동차) (연건동)",서울특별시 종로구 연건동 178-1 동마루빌딩(현대자동차),37.57648,127.0022,20,2013,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:20:52
3000000,202030000000300018,종묘주차장 옆,"서울특별시 종로구 동순라길 14, 대웅한의원 (인의동)",서울특별시 종로구 인의동 113 대웅한의원,37.57150,126.9964,7,1998,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:55:06
3000000,202030000000300031,동숭동 백동어린이공원,서울특별시 종로구 동숭4나길 13 (동숭동),서울특별시 종로구 동숭동 7-15,37.58311,127.0048,21,2014,휀스형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:19:29
3000000,202130000000300027,창신역 4번 출구,서울특별시 종로구 지봉로 104 (숭인동),서울특별시 종로구 숭인동 9-1,37.57937,127.0153,10,2008,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300016,대신중고교,서울특별시 종로구 사직로 7 (행촌동),서울특별시 종로구 행촌동 206-29,37.57256,126.9611,14,2005,휀스형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:52:29
3000000,202030000000300069,대우건설 본사 앞,"서울특별시 종로구 새문안로 75, KC Tower(케이씨타워) (신문로1가)",서울특별시 종로구 신문로1가 57 KC Tower(케이씨타워),37.57018,126.9730,10,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:17:05
3000000,202130000000300054,YBM어학원,"서울특별시 종로구 종로 104, YBM (종로2가)",서울특별시 종로구 종로2가 55-1 YBM,37.57023,126.9892,19,2015,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300053,안국역 1번출구,서울특별시 종로구 율곡로 39 (안국동),서울특별시 종로구 안국동 175-3,37.57586,126.9837,10,2012,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300067,국립민속박물관,"서울특별시 종로구 삼청로 37, 국립민속박물관 (세종로)",서울특별시 종로구 세종로 1-1 국립민속박물관,37.57952,126.9787,4,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:14:29
3000000,202030000000300035,혜화역 4번 출구,서울특별시 종로구 대학로 145-1 (혜화동),서울특별시 종로구 혜화동 148-2,37.58421,127.0014,7,2009,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:25:02
3000000,202130000000300030,동묘앞역 2번 출구,"서울특별시 종로구 종로 359, 동묘앞역 (숭인동)",서울특별시 종로구 숭인동 117 동묘앞역,37.57334,127.0167,8,2016,단독형,Y,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300032,창신역 1번 출구 앞,"서울특별시 종로구 지봉로 99-1, 새마을금고 (창신동)",서울특별시 종로구 창신동 17-29 새마을금고,37.57899,127.0152,15,2015,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300008,경복궁역 3번 출구 앞,서울특별시 종로구 사직로 125 (적선동),서울특별시 종로구 적선동 107-1,37.57621,126.9728,8,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:42:10
3000000,202030000000300009,경복궁역 7번 출구 앞,"서울특별시 종로구 사직로8길 31, 서울지방경찰청 (내자동)",서울특별시 종로구 내자동 201-11 서울지방경찰청,37.57489,126.9719,14,2010,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:43:10
3000000,202130000000300004,"종로5가역 1,2번 출구 코너",서울특별시 종로구 종로 205 (종로5가),서울특별시 종로구 종로5가 102,39.57093,128.0006,7,2020,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300010,경복궁역 엘리베이터,서울특별시 종로구 사직로 135 (적선동),서울특별시 종로구 적선동 35-1,37.57597,126.9738,20,2009,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:44:26
3000000,202130000000300056,탑골공원,"서울특별시 종로구 종로17길 4, 종로지구대 (종로2가)",서울특별시 종로구 종로2가 39-3 종로지구대,37.57025,126.9888,11,2014,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300055,종로구청,"서울특별시 종로구 삼봉로 43, 종로구청 (수송동)",서울특별시 종로구 수송동 146-2 종로구청,37.57313,126.9794,7,2013,단독형,N,Y,수동식,Y,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300022,청계천로 영도교 북측,"서울특별시 종로구 청계천로 369, 삼일아파트 (창신동)",서울특별시 종로구 창신동 400-4 삼일아파트,37.57038,127.0172,6,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300045,동숭동 백동어린이공원,서울특별시 종로구 동숭4나길 13 (동숭동),서울특별시 종로구 동숭동 7-15,37.58311,127.0048,21,2014,휀스형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300002,청운초교 정문 앞,"서울특별시 종로구 자하문로 101, 엘티에프 빌딩 (청운동)",서울특별시 종로구 청운동 131 엘티에프 빌딩,37.58499,126.9699,8,2015,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:33:25
3000000,202030000000300066,서울직업전문학교,"서울특별시 종로구 종로 375, 승문빌딩 (숭인동)",서울특별시 종로구 숭인동 165 승문빌딩,37.57414,127.0191,13,2017,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:13:11
3000000,202030000000300045,창신역 1번 출구 뒤,서울특별시 종로구 지봉로 107 (창신동),서울특별시 종로구 창신동 20-15,37.57960,127.0150,10,2015,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:40:50
3000000,202130000000300048,청계천로 광교교차로,"서울특별시 종로구 청계천로 41, 영풍빌딩 (서린동)",서울특별시 종로구 서린동 33 영풍빌딩,37.56905,126.9821,20,2017,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300062,세검정교차로(상명대 방향),"서울특별시 종로구 홍지문2길 20, 상명대학교 (홍지동)",서울특별시 종로구 홍지동 7-1 상명대학교,37.59995,126.9578,22,2010,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
